:START_ID,:END_ID,:TYPE
Udaan,Retail,SECTOR
Cue,Healthcare,SECTOR
Banxa,Crypto,SECTOR
SafeGraph,Data,SECTOR
Postscript,Marketing,SECTOR
Bitpanda,Crypto,SECTOR
Sunday,Finance,SECTOR
Bestow,Finance,SECTOR
Ethos Life,Finance,SECTOR
Netflix,Media,SECTOR
Aura,Security,SECTOR
Pipl,Security,SECTOR
Vouch,Finance,SECTOR
Voyage SMS,Marketing,SECTOR
MasterClass,Education,SECTOR
IronNet,Security,SECTOR
Bungalow,Real Estate,SECTOR
IronNet,Security,SECTOR
Sprinklr,Support,SECTOR
Superpedestrian,Transportation,SECTOR
Voi,Transportation,SECTOR
Balto,Sales,SECTOR
Ritual,Food,SECTOR
Ebanx,Finance,SECTOR
TaskUs,Support,SECTOR
Community,Marketing,SECTOR
Sourcegraph,Product,SECTOR
Bybit,Crypto,SECTOR
SummerBio,Healthcare,SECTOR
Trax,Retail,SECTOR
Aqgromalin,Food,SECTOR
Bonsai,Retail,SECTOR
Brighte,Energy,SECTOR
CityMall,Retail,SECTOR
BitOasis,Crypto,SECTOR
Unacademy,Education,SECTOR
Bytedance,Consumer,SECTOR
Socure,Finance,SECTOR
Finite State,Security,SECTOR
JOKR,Food,SECTOR
Zumper,Real Estate,SECTOR
PharmEasy,Healthcare,SECTOR
Swappie,Retail,SECTOR
Wealthsimple,Finance,SECTOR
Weee!,Food,SECTOR
Notarize,Legal,SECTOR
Elementor,Media,SECTOR
Tonkean,Other,SECTOR
